Chromosome	Start	End	Strand	Feature	gene_id	UTR_id
chr4	143517249	143517833	+	3UTR	Gm13057	Gm13057:chr4:143517249:143517833:u1
chr4	143541887	143542471	+	3UTR	Gm13040	Gm13040:chr4:143541887:143542471:u2
chr4	143541887	143542471	+	3UTR	Gm13057	Gm13057:chr4:143541887:143542471:u2
chr4	143557652	143558236	+	3UTR	Gm13040	Gm13040:chr4:143557652:143558236:u3
chr4	143557652	143558236	+	3UTR	Gm13057	Gm13057:chr4:143557652:143558236:u3
chr4	143573215	143573798	+	3UTR	BC080695	BC080695:chr4:143573215:143573798:u1
chr4	143617638	143618595	+	3UTR	Gm13083	Gm13083:chr4:143617638:143618595:u1
chr4	143728559	143729158	+	3UTR	Gm13078	Gm13078:chr4:143728559:143729158:u1
chr4	143794772	143795585	+	3UTR	Gm13023	Gm13023:chr4:143794772:143795585:u1
chr4	143853323	143853637	+	3UTR	Gm13103	Gm13103:chr4:143853323:143853637:u1
chr4	144068548	144069327	+	3UTR	Pramel4	Pramel4:chr4:144068548:144069327:u1
chr4	144109324	144110101	+	3UTR	Gm13102	Gm13102:chr4:144109324:144110101:u1
chr4	144196598	144196934	+	3UTR	Oog2	Oog2:chr4:144196598:144196934:u1
chr4	144333149	144333465	+	3UTR	Gm13128	Gm13128:chr4:144333149:144333465:u1
chr4	144363838	144364419	+	3UTR	Gm13119	Gm13119:chr4:144363838:144364419:u1
chr4	144529236	144529353	+	3UTR	Aadacl4fm1	Aadacl4fm1:chr4:144529236:144529353:u1
chr4	144927220	144928209	+	3UTR	Dhrs3	Dhrs3:chr4:144927220:144928209:u1
chr4	145624395	145625343	+	3UTR	Gm13212	Gm13212:chr4:145624395:145625343:u1
chr4	145702641	145704437	+	3UTR	Zfp980	Zfp980:chr4:145702641:145704437:u1
chr4	145829252	145829939	+	3UTR	Zfp991	Zfp991:chr4:145829252:145829939:u1
chr4	146125902	146126623	+	3UTR	Zfp987	Zfp987:chr4:146125902:146126623:u1
chr4	146196978	146198756	+	3UTR	Zfp600	Zfp600:chr4:146196978:146198756:u1
chr4	146467546	146468233	+	3UTR	Zfp991	Zfp991:chr4:146467546:146468233:u2
chr4	146467546	146469440	+	3UTR	Zfp992	Zfp992:chr4:146467546:146469440:u1
chr4	146537958	146539395	+	3UTR	Zfp981	Zfp981:chr4:146537958:146539395:u1
chr4	147059115	147060799	+	3UTR	Rex2	Rex2:chr4:147059115:147060799:u1
chr4	147513295	147516064	+	3UTR	Zfp982	Zfp982:chr4:147513295:147516064:u1
chr4	147584237	147585201	+	3UTR	Zfp985	Zfp985:chr4:147584237:147585201:u1
chr4	147946619	147947314	+	3UTR	2510039O18Rik	2510039O18Rik:chr4:147946619:147947314:u1
chr4	147986979	147987205	+	3UTR	Nppb	Nppb:chr4:147986979:147987205:u1
chr4	148001787	148002074	+	3UTR	Nppa	Nppa:chr4:148001787:148002074:u1
chr4	148055589	148059562	+	3UTR	Mthfr	Mthfr:chr4:148055589:148059562:u1
chr4	148145414	148145704	+	3UTR	Mad2l2	Mad2l2:chr4:148145414:148145704:u1
chr4	148166100	148166417	+	3UTR	Fbxo2	Fbxo2:chr4:148166100:148166417:u1
chr4	148556861	148557685	+	3UTR	Mtor	Mtor:chr4:148556861:148557685:u1
chr4	148582315	148582400	+	3UTR	Exosc10	Exosc10:chr4:148582315:148582400:u1
chr4	148594308	148594619	+	3UTR	Srm	Srm:chr4:148594308:148594619:u1
chr4	148604270	148604413	+	3UTR	Masp2	Masp2:chr4:148604270:148604413:u1
chr4	148614522	148615480	+	3UTR	Masp2	Masp2:chr4:148614522:148615480:u2
chr4	148671429	148671572	+	3UTR	Gm572	Gm572:chr4:148671429:148671572:u1
chr4	148676297	148677105	+	3UTR	Gm572	Gm572:chr4:148676297:148677105:u2
chr4	148944601	148945130	+	3UTR	Casz1	Casz1:chr4:148944601:148945130:u1
chr4	148952572	148954892	+	3UTR	Casz1	Casz1:chr4:148952572:148954892:u2
chr4	149117939	149118128	+	3UTR	Dffa	Dffa:chr4:149117939:149118128:u1
chr4	149119292	149120653	+	3UTR	Dffa	Dffa:chr4:149119292:149120653:u2
chr4	149496139	149496667	+	3UTR	Lzic	Lzic:chr4:149496139:149496667:u1
chr4	149564264	149566437	+	3UTR	Ctnnbip1	Ctnnbip1:chr4:149564264:149566437:u1
chr4	149647565	149648899	+	3UTR	Clstn1	Clstn1:chr4:149647565:149648899:u1
chr4	150102410	150105927	+	3UTR	Gpr157	Gpr157:chr4:150102410:150105927:u1
chr4	150143232	150144168	+	3UTR	Slc2a5	Slc2a5:chr4:150143232:150144168:u1
chr4	150168483	150169042	+	3UTR	Slc2a7	Slc2a7:chr4:150168483:150169042:u1
chr4	150248556	150248873	+	3UTR	Eno1	Eno1:chr4:150248556:150248873:u1
chr4	150619490	150621966	+	3UTR	Rere	Rere:chr4:150619490:150621966:u1
chr4	150867503	150868889	+	3UTR	Errfi1	Errfi1:chr4:150867503:150868889:u1
chr4	150944871	150946102	+	3UTR	Tnfrsf9	Tnfrsf9:chr4:150944871:150946102:u1
chr4	151001681	151001810	+	3UTR	Uts2	Uts2:chr4:151001681:151001810:u1
chr4	151091141	151091449	+	3UTR	Gm13090	Gm13090:chr4:151091141:151091449:u1
chr4	151980729	151981959	+	3UTR	Dnajc11	Dnajc11:chr4:151980729:151981959:u1
chr4	152015629	152017677	+	3UTR	Klhl21	Klhl21:chr4:152015629:152017677:u1
chr4	152058476	152060038	+	3UTR	Nol9	Nol9:chr4:152058476:152060038:u1
chr4	152061259	152061494	+	3UTR	Nol9	Nol9:chr4:152061259:152061494:u2
chr4	152114840	152115404	+	3UTR	Plekhg5	Plekhg5:chr4:152114840:152115404:u1
chr4	152119840	152120119	+	3UTR	Tnfrsf25	Tnfrsf25:chr4:152119840:152120119:u1
chr4	152160550	152162469	+	3UTR	Hes2	Hes2:chr4:152160550:152162469:u1
chr4	152260993	152261030	+	3UTR	Acot7	Acot7:chr4:152260993:152261030:u1
chr4	152271474	152271855	+	3UTR	Acot7	Acot7:chr4:152271474:152271855:u2
chr4	152283590	152285337	+	3UTR	Gpr153	Gpr153:chr4:152283590:152285337:u1
chr4	152303205	152307126	+	3UTR	Icmt	Icmt:chr4:152303205:152307126:u1
chr4	152332288	152334082	+	3UTR	Rpl22	Rpl22:chr4:152332288:152334082:u1
chr4	152385957	152386002	+	3UTR	Chd5	Chd5:chr4:152385957:152386002:u1
chr4	152386915	152390194	+	3UTR	Chd5	Chd5:chr4:152386915:152390194:u2
chr4	152562779	152563184	+	3UTR	Nphp4	Nphp4:chr4:152562779:152563184:u1
chr4	153961592	153961924	+	3UTR	A430005L14Rik	A430005L14Rik:chr4:153961592:153961924:u1
chr4	154006806	154007225	+	3UTR	Cep104	Cep104:chr4:154006806:154007225:u1
chr4	154019877	154021512	+	3UTR	Lrrc47	Lrrc47:chr4:154019877:154021512:u1
chr4	154156681	154156818	+	3UTR	Wrap73	Wrap73:chr4:154156681:154156818:u1
chr4	154273876	154275721	+	3UTR	Megf6	Megf6:chr4:154273876:154275721:u1
chr4	154865784	154867125	+	3UTR	Ttc34	Ttc34:chr4:154865784:154867125:u1
chr4	154895226	154895530	+	3UTR	Mmel1	Mmel1:chr4:154895226:154895530:u1
chr4	154961676	154962371	+	3UTR	Hes5	Hes5:chr4:154961676:154962371:u1
chr4	154980709	154980938	+	3UTR	Pank4	Pank4:chr4:154980709:154980938:u1
chr4	155071774	155072406	+	3UTR	Pex10	Pex10:chr4:155071774:155072406:u1
chr4	155128953	155128965	+	3UTR	Morn1	Morn1:chr4:155128953:155128965:u1
chr4	155139460	155140725	+	3UTR	Morn1	Morn1:chr4:155139460:155140725:u2
chr4	155145310	155145507	+	3UTR	Morn1	Morn1:chr4:155145310:155145507:u3
chr4	155256208	155256687	+	3UTR	Faap20	Faap20:chr4:155256208:155256687:u1
chr4	155420350	155421996	+	3UTR	Cfap74	Cfap74:chr4:155420350:155421996:u1
chr4	155442847	155443110	+	3UTR	Cfap74	Cfap74:chr4:155442847:155443110:u2
chr4	155466406	155466823	+	3UTR	Cfap74	Cfap74:chr4:155466406:155466823:u3
chr4	155470531	155470858	+	3UTR	Tmem52	Tmem52:chr4:155470531:155470858:u1
chr4	155557278	155557286	+	3UTR	Gnb1	Gnb1:chr4:155557278:155557286:u1
chr4	155557468	155559269	+	3UTR	Gnb1	Gnb1:chr4:155557468:155559269:u2
chr4	155589476	155591001	+	3UTR	Nadk	Nadk:chr4:155589476:155591001:u1
chr4	155618750	155623340	+	3UTR	Slc35e2	Slc35e2:chr4:155618750:155623340:u1
chr4	155649785	155649934	+	3UTR	Cdk11b	Cdk11b:chr4:155649785:155649934:u1
chr4	155695173	155696483	+	3UTR	Fndc10	Fndc10:chr4:155695173:155696483:u1
chr4	155733575	155733873	+	3UTR	Ssu72	Ssu72:chr4:155733575:155733873:u1
chr4	155739995	155740564	+	3UTR	Tmem240	Tmem240:chr4:155739995:155740564:u1
chr4	155793183	155793328	+	3UTR	Ankrd65	Ankrd65:chr4:155793183:155793328:u1
chr4	155808653	155808831	+	3UTR	Mrpl20	Mrpl20:chr4:155808653:155808831:u1
chr4	155823698	155824543	+	3UTR	Ccnl2	Ccnl2:chr4:155823698:155824543:u1
chr4	155832993	155833098	+	3UTR	Aurkaip1	Aurkaip1:chr4:155832993:155833098:u1
chr4	155843331	155844102	+	3UTR	Mxra8	Mxra8:chr4:155843331:155844102:u1
chr4	155857507	155857534	+	3UTR	Dvl1	Dvl1:chr4:155857507:155857534:u1
chr4	155857993	155859303	+	3UTR	Dvl1	Dvl1:chr4:155857993:155859303:u2
chr4	155888686	155889103	+	3UTR	Ints11	Ints11:chr4:155888686:155889103:u1
chr4	155905961	155907251	+	3UTR	Acap3	Acap3:chr4:155905961:155907251:u1
chr4	155957366	155959604	+	3UTR	Ube2j2	Ube2j2:chr4:155957366:155959604:u1
chr4	155966503	155966629	+	3UTR	C1qtnf12	C1qtnf12:chr4:155966503:155966629:u1
chr4	156002556	156002699	+	3UTR	Sdf4	Sdf4:chr4:156002556:156002699:u1
chr4	156009951	156013610	+	3UTR	Sdf4	Sdf4:chr4:156009951:156013610:u2
chr4	156016433	156016589	+	3UTR	Tnfrsf4	Tnfrsf4:chr4:156016433:156016589:u1
chr4	156028532	156028894	+	3UTR	Tnfrsf18	Tnfrsf18:chr4:156028532:156028894:u1
chr4	156125515	156127263	+	3UTR	9430015G10Rik	9430015G10Rik:chr4:156125515:156127263:u1
chr4	156132938	156133417	+	3UTR	Rnf223	Rnf223:chr4:156132938:156133417:u1
chr4	156220223	156221307	+	3UTR	Perm1	Perm1:chr4:156220223:156221307:u1
chr4	156247120	156247616	+	3UTR	Noc2l	Noc2l:chr4:156247120:156247616:u1
chr4	156339061	156339496	+	3UTR	Vmn2r123	Vmn2r123:chr4:156339061:156339496:u1
chr4	3549041	3550474	-	3UTR	Tmem68	Tmem68:chr4:3549041:3550474:u1
chr4	3831584	3834500	-	3UTR	Rps20	Rps20:chr4:3831584:3834500:u1
chr4	3870658	3870782	-	3UTR	Mos	Mos:chr4:3870658:3870782:u1
chr4	3901158	3903689	-	3UTR	Plag1	Plag1:chr4:3901158:3903689:u1
chr4	3995942	3996161	-	3UTR	Sdr16c5	Sdr16c5:chr4:3995942:3996161:u1
chr4	4056666	4056777	-	3UTR	Sdr16c6	Sdr16c6:chr4:4056666:4056777:u1
chr4	4133536	4133838	-	3UTR	Penk	Penk:chr4:4133536:4133838:u1
chr4	4527774	4528203	-	3UTR	Gm11780	Gm11780:chr4:4527774:4528203:u1
chr4	4762484	4767703	-	3UTR	Impad1	Impad1:chr4:4762484:4767703:u1
chr4	6265612	6268211	-	3UTR	Cyp7a1	Cyp7a1:chr4:6265612:6268211:u1
chr4	6396208	6396722	-	3UTR	Nsmaf	Nsmaf:chr4:6396208:6396722:u1
chr4	6687386	6688424	-	3UTR	Tox	Tox:chr4:6687386:6688424:u1
chr4	8141493	8146216	-	3UTR	Car8	Car8:chr4:8141493:8146216:u2
chr4	8169596	8169630	-	3UTR	Car8	Car8:chr4:8169596:8169630:u1
chr4	9449085	9453294	-	3UTR	Asph	Asph:chr4:9449085:9453294:u4
chr4	9575262	9576965	-	3UTR	Asph	Asph:chr4:9575262:9576965:u3
chr4	9620910	9621879	-	3UTR	Asph	Asph:chr4:9620910:9621879:u2
chr4	9628646	9630707	-	3UTR	Asph	Asph:chr4:9628646:9630707:u1
chr4	10988662	10990590	-	3UTR	Plekhf2	Plekhf2:chr4:10988662:10990590:u1
chr4	11051046	11051096	-	3UTR	Ndufaf6	Ndufaf6:chr4:11051046:11051096:u1
chr4	11199158	11199451	-	3UTR	Ints8	Ints8:chr4:11199158:11199451:u2
chr4	11202928	11204466	-	3UTR	Ints8	Ints8:chr4:11202928:11204466:u1
chr4	11265079	11265777	-	3UTR	Dpy19l4	Dpy19l4:chr4:11265079:11265777:u1
chr4	11331933	11333473	-	3UTR	Esrp1	Esrp1:chr4:11331933:11333473:u2
chr4	11338722	11338756	-	3UTR	Esrp1	Esrp1:chr4:11338722:11338756:u1
chr4	11958183	11960572	-	3UTR	Pdp1	Pdp1:chr4:11958183:11960572:u1
chr4	12039359	12039811	-	3UTR	Tmem67	Tmem67:chr4:12039359:12039811:u1
chr4	12153142	12153894	-	3UTR	Fam92a	Fam92a:chr4:12153142:12153894:u1
chr4	14505197	14505466	-	3UTR	Slc26a7	Slc26a7:chr4:14505197:14505466:u1
chr4	14665754	14665912	-	3UTR	Lrrc69	Lrrc69:chr4:14665754:14665912:u1
chr4	14809505	14811663	-	3UTR	Otud6b	Otud6b:chr4:14809505:14811663:u1
chr4	14952245	14955892	-	3UTR	Necab1	Necab1:chr4:14952245:14955892:u1
chr4	15917240	15919034	-	3UTR	Decr1	Decr1:chr4:15917240:15919034:u1
chr4	15996354	15997967	-	3UTR	Osgin2	Osgin2:chr4:15996354:15997967:u1
chr4	16122741	16123553	-	3UTR	Ripk2	Ripk2:chr4:16122741:16123553:u1
chr4	18767981	18768014	-	3UTR	Cnbd1	Cnbd1:chr4:18767981:18768014:u1
chr4	19519252	19523183	-	3UTR	Cpne3	Cpne3:chr4:19519252:19523183:u1
chr4	19608300	19611713	-	3UTR	Wwp1	Wwp1:chr4:19608300:19611713:u1
chr4	19876838	19878218	-	3UTR	Atp6v0d2	Atp6v0d2:chr4:19876838:19878218:u1
chr4	20118874	20122642	-	3UTR	Nkain3	Nkain3:chr4:20118874:20122642:u2
chr4	20243853	20245887	-	3UTR	Nkain3	Nkain3:chr4:20243853:20245887:u1
chr4	21677480	21678223	-	3UTR	Prdm13	Prdm13:chr4:21677480:21678223:u1
chr4	21757382	21758402	-	3UTR	Tstd3	Tstd3:chr4:21757382:21758402:u1
chr4	22482095	22486793	-	3UTR	Pou3f2	Pou3f2:chr4:22482095:22486793:u1
chr4	24612561	24617384	-	3UTR	Klhl32	Klhl32:chr4:24612561:24617384:u1
chr4	25199908	25199977	-	3UTR	Fhl5	Fhl5:chr4:25199908:25199977:u1
chr4	25247149	25250469	-	3UTR	Ufl1	Ufl1:chr4:25247149:25250469:u1
chr4	25609333	25619732	-	3UTR	Fut9	Fut9:chr4:25609333:25619732:u1
chr4	26324506	26327650	-	3UTR	Manea	Manea:chr4:26324506:26327650:u1
chr4	32804035	32806112	-	3UTR	Ankrd6	Ankrd6:chr4:32804035:32806112:u1
chr4	33170406	33174325	-	3UTR	Pm20d2	Pm20d2:chr4:33170406:33174325:u1
chr4	33245423	33246063	-	3UTR	Pnrc1	Pnrc1:chr4:33245423:33246063:u1
chr4	34024872	34025106	-	3UTR	Spaca1	Spaca1:chr4:34024872:34025106:u2
chr4	34028314	34028397	-	3UTR	Spaca1	Spaca1:chr4:34028314:34028397:u1
chr4	34566781	34570912	-	3UTR	Orc3	Orc3:chr4:34566781:34570912:u1
chr4	34663257	34664105	-	3UTR	Slc35a1	Slc35a1:chr4:34663257:34664105:u1
chr4	34688574	34688783	-	3UTR	Cfap206	Cfap206:chr4:34688574:34688783:u2
chr4	34711332	34711380	-	3UTR	Cfap206	Cfap206:chr4:34711332:34711380:u1
chr4	34743788	34743855	-	3UTR	Gm136	Gm136:chr4:34743788:34743855:u1
chr4	34768670	34768988	-	3UTR	Smim8	Smim8:chr4:34768670:34768988:u1
chr4	34803110	34804960	-	3UTR	Zfp292	Zfp292:chr4:34803110:34804960:u1
chr4	34949074	34954017	-	3UTR	Mob3b	Mob3b:chr4:34949074:34954017:u1
chr4	35191285	35192881	-	3UTR	C9orf72	C9orf72:chr4:35191285:35192881:u1
chr4	35706648	35708157	-	3UTR	Lingo2	Lingo2:chr4:35706648:35708157:u1
chr4	40203777	40205809	-	3UTR	Ddx58	Ddx58:chr4:40203777:40205809:u1
chr4	40259606	40260180	-	3UTR	Topors	Topors:chr4:40259606:40260180:u1
chr4	40270591	40270778	-	3UTR	Ndufb6	Ndufb6:chr4:40270591:40270778:u1
chr4	40682078	40686558	-	3UTR	Aptx	Aptx:chr4:40682078:40686558:u1
chr4	40735649	40737296	-	3UTR	Smu1	Smu1:chr4:40735649:40737296:u1
chr4	40804582	40807184	-	3UTR	B4galt1	B4galt1:chr4:40804582:40807184:u1
chr4	40936398	40936586	-	3UTR	Bag1	Bag1:chr4:40936398:40936586:u1
chr4	41033074	41034245	-	3UTR	Aqp7	Aqp7:chr4:41033074:41034245:u1
chr4	41092724	41093533	-	3UTR	Aqp3	Aqp3:chr4:41092724:41093533:u1
chr4	41114427	41115356	-	3UTR	Nol6	Nol6:chr4:41114427:41115356:u1
chr4	41194315	41195150	-	3UTR	Ubap2	Ubap2:chr4:41194315:41195150:u1
chr4	41291300	41293055	-	3UTR	Dcaf12	Dcaf12:chr4:41291300:41293055:u1
chr4	41390748	41392111	-	3UTR	Kif24	Kif24:chr4:41390748:41392111:u1
chr4	41495601	41497477	-	3UTR	Myorg	Myorg:chr4:41495601:41497477:u1
chr4	41505009	41505168	-	3UTR	1110017D15Rik	1110017D15Rik:chr4:41505009:41505168:u1
chr4	41518929	41520239	-	3UTR	Fam219a	Fam219a:chr4:41518929:41520239:u1
chr4	41638144	41638611	-	3UTR	Enho	Enho:chr4:41638144:41638611:u1
chr4	41657498	41658151	-	3UTR	Cntfr	Cntfr:chr4:41657498:41658151:u1
chr4	41712033	41712281	-	3UTR	Rpp25l	Rpp25l:chr4:41712033:41712281:u1
chr4	41714798	41715169	-	3UTR	Dctn3	Dctn3:chr4:41714798:41715169:u1
chr4	41723836	41724232	-	3UTR	Arid3c	Arid3c:chr4:41723836:41724232:u1
chr4	41738493	41739580	-	3UTR	Sigmar1	Sigmar1:chr4:41738493:41739580:u2
chr4	41740550	41740626	-	3UTR	Sigmar1	Sigmar1:chr4:41740550:41740626:u1
chr4	41769470	41769497	-	3UTR	Ccl27a	Ccl27a:chr4:41769470:41769497:u2
chr4	41773186	41773193	-	3UTR	Ccl27a	Ccl27a:chr4:41773186:41773193:u1
chr4	42158116	42159195	-	3UTR	Gm2002	Gm2002:chr4:42158116:42159195:u2
chr4	42158116	42159195	-	3UTR	Il11ra2	Il11ra2:chr4:42158116:42159195:u2
chr4	42158842	42159195	-	3UTR	Gm13305	Gm13305:chr4:42158842:42159195:u2
chr4	42522439	42522579	-	3UTR	Fam205a2	Fam205a2:chr4:42522439:42522579:u1
chr4	42522441	42522579	-	3UTR	Fam205a3	Fam205a3:chr4:42522441:42522579:u1
chr4	42522441	42522579	-	3UTR	Fam205a4	Fam205a4:chr4:42522441:42522579:u1
chr4	42655275	42656354	-	3UTR	Gm2002	Gm2002:chr4:42655275:42656354:u1
chr4	42655275	42656354	-	3UTR	Il11ra2	Il11ra2:chr4:42655275:42656354:u1
chr4	42656001	42656354	-	3UTR	Gm13305	Gm13305:chr4:42656001:42656354:u1
chr4	42754525	42754729	-	3UTR	Ccl19	Ccl19:chr4:42754525:42754729:u1
chr4	42772860	42773252	-	3UTR	Ccl21a	Ccl21a:chr4:42772860:42773252:u1
chr4	42772860	42773252	-	3UTR	Gm1987	Gm1987:chr4:42772860:42773252:u1
chr4	42848071	42848209	-	3UTR	Fam205a1	Fam205a1:chr4:42848071:42848209:u1
chr4	42868003	42868508	-	3UTR	Fam205c	Fam205c:chr4:42868003:42868508:u1
chr4	42979964	42980528	-	3UTR	Vcp	Vcp:chr4:42979964:42980528:u1
chr4	43002337	43002983	-	3UTR	Fancg	Fancg:chr4:43002337:43002983:u1
chr4	43017626	43017908	-	3UTR	Pigo	Pigo:chr4:43017626:43017908:u1
chr4	43027690	43028164	-	3UTR	Stoml2	Stoml2:chr4:43027690:43028164:u1
chr4	43032414	43033534	-	3UTR	Fam214b	Fam214b:chr4:43032414:43033534:u1
chr4	43427014	43427507	-	3UTR	Fam166b	Fam166b:chr4:43427014:43427507:u1
chr4	43447724	43448036	-	3UTR	Cd72	Cd72:chr4:43447724:43448036:u2
chr4	43448260	43448264	-	3UTR	Cd72	Cd72:chr4:43448260:43448264:u1
chr4	43482083	43482614	-	3UTR	Sit1	Sit1:chr4:43482083:43482614:u1
chr4	43496144	43496677	-	3UTR	Arhgef39	Arhgef39:chr4:43496144:43496677:u1
chr4	43513726	43515920	-	3UTR	Tpm2	Tpm2:chr4:43513726:43515920:u1
chr4	43531513	43531959	-	3UTR	Tln1	Tln1:chr4:43531513:43531959:u1
chr4	43566928	43567188	-	3UTR	Gba2	Gba2:chr4:43566928:43567188:u1
chr4	43583216	43583312	-	3UTR	Msmp	Msmp:chr4:43583216:43583312:u1
chr4	43651330	43651459	-	3UTR	Spag8	Spag8:chr4:43651330:43651459:u2
chr4	43651676	43651728	-	3UTR	Spag8	Spag8:chr4:43651676:43651728:u1
chr4	43654227	43654319	-	3UTR	Hint2	Hint2:chr4:43654227:43654319:u1
chr4	43659622	43659654	-	3UTR	Fam221b	Fam221b:chr4:43659622:43659654:u1
chr4	43695000	43696220	-	3UTR	Olfr70	Olfr70:chr4:43695000:43696220:u1
chr4	43820335	43820402	-	3UTR	Olfr156	Olfr156:chr4:43820335:43820402:u1
chr4	43834752	43835531	-	3UTR	Olfr157	Olfr157:chr4:43834752:43835531:u1
chr4	44034075	44037117	-	3UTR	Gne	Gne:chr4:44034075:44037117:u1
chr4	44126210	44129593	-	3UTR	Rnf38	Rnf38:chr4:44126210:44129593:u1
chr4	44524751	44531505	-	3UTR	Pax5	Pax5:chr4:44524751:44531505:u1
chr4	44991243	44993369	-	3UTR	Zbtb5	Zbtb5:chr4:44991243:44993369:u1
chr4	45034248	45035907	-	3UTR	Fbxo10	Fbxo10:chr4:45034248:45035907:u1
chr4	45105210	45105629	-	3UTR	Tomm5	Tomm5:chr4:45105210:45105629:u1
chr4	45316613	45316826	-	3UTR	Exosc3	Exosc3:chr4:45316613:45316826:u1
chr4	45395924	45399240	-	3UTR	Slc25a51	Slc25a51:chr4:45395924:45399240:u1
chr4	45423276	45423939	-	3UTR	Shb	Shb:chr4:45423276:45423939:u1
chr4	45809507	45811380	-	3UTR	Igfbpl1	Igfbpl1:chr4:45809507:45811380:u2
chr4	45813393	45813400	-	3UTR	Igfbpl1	Igfbpl1:chr4:45813393:45813400:u1
chr4	46114746	46116844	-	3UTR	Tstd2	Tstd2:chr4:46114746:46116844:u1
chr4	46175222	46175266	-	3UTR	Xpa	Xpa:chr4:46175222:46175266:u1
chr4	46376975	46377035	-	3UTR	Trmo	Trmo:chr4:46376975:46377035:u2
chr4	46379924	46380050	-	3UTR	Trmo	Trmo:chr4:46379924:46380050:u1
chr4	46393989	46394596	-	3UTR	Hemgn	Hemgn:chr4:46393989:46394596:u1
chr4	46505072	46506891	-	3UTR	Trim14	Trim14:chr4:46505072:46506891:u1
chr4	46536937	46539135	-	3UTR	Coro2a	Coro2a:chr4:46536937:46539135:u1
chr4	46604390	46605760	-	3UTR	Tbc1d2	Tbc1d2:chr4:46604390:46605760:u1
chr4	46662318	46664783	-	3UTR	Gabbr2	Gabbr2:chr4:46662318:46664783:u1
chr4	47015669	47016766	-	3UTR	Anks6	Anks6:chr4:47015669:47016766:u1
chr4	47469833	47471558	-	3UTR	Alg2	Alg2:chr4:47469833:47471558:u1
chr4	48190711	48194607	-	3UTR	Erp44	Erp44:chr4:48190711:48194607:u1
chr4	48430858	48430969	-	3UTR	Tex10	Tex10:chr4:48430858:48430969:u1
chr4	49379840	49380113	-	3UTR	Acnat2	Acnat2:chr4:49379840:49380113:u1
chr4	49443532	49447328	-	3UTR	Acnat1	Acnat1:chr4:49443532:49447328:u1
chr4	49489418	49489819	-	3UTR	Baat	Baat:chr4:49489418:49489819:u1
chr4	49512597	49514189	-	3UTR	Mrpl50	Mrpl50:chr4:49512597:49514189:u1
chr4	49535993	49536792	-	3UTR	Aldob	Aldob:chr4:49535993:49536792:u1
chr4	49584506	49585954	-	3UTR	Tmem246	Tmem246:chr4:49584506:49585954:u1
chr4	49661611	49665225	-	3UTR	Grin3a	Grin3a:chr4:49661611:49665225:u1
chr4	49678747	49681156	-	3UTR	Ppp3r2	Ppp3r2:chr4:49678747:49681156:u1
chr4	53030789	53033942	-	3UTR	Abca1	Abca1:chr4:53030789:53033942:u1
chr4	55527137	55528124	-	3UTR	Klf4	Klf4:chr4:55527137:55528124:u1
chr4	56740005	56740099	-	3UTR	Actl7b	Actl7b:chr4:56740005:56740099:u1
chr4	56749680	56751651	-	3UTR	Elp1	Elp1:chr4:56749680:56751651:u1
chr4	56810935	56812328	-	3UTR	Ctnnal1	Ctnnal1:chr4:56810935:56812328:u1
chr4	56876013	56880246	-	3UTR	Tmem245	Tmem245:chr4:56876013:56880246:u1
chr4	56960136	56962987	-	3UTR	Frrs1l	Frrs1l:chr4:56960136:56962987:u1
chr4	56991973	56995733	-	3UTR	Epb41l4b	Epb41l4b:chr4:56991973:56995733:u2
chr4	57061726	57063104	-	3UTR	Epb41l4b	Epb41l4b:chr4:57061726:57063104:u1
chr4	57190841	57194284	-	3UTR	Ptpn3	Ptpn3:chr4:57190841:57194284:u1
chr4	57908384	57910099	-	3UTR	D630039A03Rik	D630039A03Rik:chr4:57908384:57910099:u1
chr4	57943373	57943904	-	3UTR	Txn1	Txn1:chr4:57943373:57943904:u1
chr4	57984029	57984167	-	3UTR	Txndc8	Txndc8:chr4:57984029:57984167:u1
chr4	58042796	58043146	-	3UTR	Svep1	Svep1:chr4:58042796:58043146:u1
chr4	58435252	58437332	-	3UTR	Lpar1	Lpar1:chr4:58435252:58437332:u1
chr4	58797234	58800180	-	3UTR	Ecpas	Ecpas:chr4:58797234:58800180:u1
chr4	58965590	58966652	-	3UTR	Ptgr1	Ptgr1:chr4:58965590:58966652:u1
chr4	59041984	59043866	-	3UTR	Shoc1	Shoc1:chr4:59041984:59043866:u1
chr4	59314683	59315408	-	3UTR	Susd1	Susd1:chr4:59314683:59315408:u1
chr4	59471868	59476882	-	3UTR	Ptbp3	Ptbp3:chr4:59471868:59476882:u1
chr4	59769647	59772363	-	3UTR	Inip	Inip:chr4:59769647:59772363:u1
chr4	59905899	59906383	-	3UTR	Slc46a2	Slc46a2:chr4:59905899:59906383:u1
chr4	59956805	59957057	-	3UTR	Mup4	Mup4:chr4:59956805:59957057:u2
chr4	59957845	59957864	-	3UTR	Mup4	Mup4:chr4:59957845:59957864:u1
chr4	60066469	60066722	-	3UTR	Mup15	Mup15:chr4:60066469:60066722:u4
chr4	60066469	60066722	-	3UTR	Mup7	Mup7:chr4:60066469:60066722:u2
chr4	60067510	60067529	-	3UTR	Mup15	Mup15:chr4:60067510:60067529:u3
chr4	60067510	60067529	-	3UTR	Mup7	Mup7:chr4:60067510:60067529:u1
chr4	60135913	60136184	-	3UTR	Mup2	Mup2:chr4:60135913:60136184:u6
chr4	60136847	60136994	-	3UTR	Mup2	Mup2:chr4:60136847:60136994:u5
